"Moscow Cinema Theaters, 1946-1955",,,,,,,,
1946,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Таганский ПКиО / Taganskiĭ PKIO,"Moscow, SU",Ждановский р-н,"55.73785783551522, 37.67003941340802",,2,602,,
Театр киноактера / Teatr kinoaktera,"Moscow, SU","Воровского, 31","55.756905640786755, 37.58698523028461",,1,924,,
Уран / Uran,"Moscow, SU","Сретенка, 19","55.77040452282041, 37.63155372711536",,1,910,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Форум / Forum,"Moscow, SU","Садово-Сухаревск., 14","55.773058432602916, 37.62740330442969",,1,1222,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Хроника / Khronika,"Moscow, SU","Сретенка, 4","55.767124, 37.631820",,,266,newsreel,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Художественный / Khudozhestvennyĭ,"Moscow, SU",Арбатская пл. 14,"55.752369, 37.602139",,1,960,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Центральный / Tsentral'nyĭ,"Moscow, SU","ул. Горького, 46","55.76592426048217, 37.60529052843362	",,1,810,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU","Крымский вал, 9","55.73154109054722, 37.60327706944183",,1,810,summer cinema,The data on cinema's capacity and run is based on 1948 report.  The information about addreess is based on 1951 report
Шторм / Shtorm,"Moscow, SU","Русаковская, 1","55.78235111103543, 37.67006121362364	",,1,638,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Экран жизни / Ėkran zhizni,"Moscow, SU","Садово-Каретная, 45","55.77342398078649, 37.611662769437814",,1,548,,The data on cinema's capacity and run is based on 1948 report.  The information about addreess is based on 1951 report
Экспресс / Ėkspress,"Moscow, SU","Цветной бульвар, 25","55.77321250837942, 37.620671571295084",,2,230,,The data on cinema's capacity and run is based on 1948 report.  The information about addreess is based on 1951 report
Эрмитаж / Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77035848488775, 37.60921074307702",,1,658/36,,The data on cinema's capacity and run is based on 1949 report. The information about addreess is based on 1951 report
Юный зритель / IUnyĭ zritel',"Moscow, SU","Арбат, 39","55.74853398105157, 37.588827397745554	",,2,313,children,TCGAM. F. 265. Op. 1. D. 14. L. 73.
1948,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Колизей / Kolizeĭ,"Moscow, SU",Чистые пруды 19-а,"55.761781, 37.645941",,1,1001,Union Cinema,RGALI. F. 2473. Op. 1. D. 399. L. 18; The data on cinema's address and run is based on 1953 report. 
Метрополь / Metropol',"Moscow, SU",Пл. Свердлова 2/4,"55.758448, 37.621669",,1,692,Union Cinema,RGALI. F. 2473. Op. 1. D. 399. L. 18; The data on cinema's address and run is based on 1953 report. 
Ударник / Udarnik,"Moscow, SU","ул. Серафимовича, 2","55.744450, 37.613072",,1,1587,Union Cinema,"RGALI. F. 2473. Op. 1. D. 399. L. 18; Tha data on cinema's address is based on Moskovskaia gorodskaia telefonnaia set'. Kratkiĭ telefonnyĭ spravochnik. Moskva : Upr. Mosk. gor. telefonnoy seti, 1955. Tha data on cinema's run is based on 1953 report."
Управление кинофикации Мосгорисполкома / Upravlenie kinofikatsii Mosgorispolkoma,,,,,,,,
Cinema,City,District,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Ленинский,"55.731779, 37.611473",,1,489,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Аврора / Avrora,"Moscow, SU",Красногвардейский,"55.759157, 37.645708",,3,338,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Аквариум / Akvarium,"Moscow, SU",Советский,"55.76749154922368, 37.59480267864476",,2,600,summer cinema,TCGAM. F. 265. Op. 1. D. 17. L. 84
Арс / Ars,"Moscow, SU",Киевский,"55.74806146601852, 37.58749976700312",,2,254,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Баррикады / Barrikady,"Moscow, SU",Краснопресненский,"55.76064794396243, 37.579330860186516",,2,441,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,"Moscow, SU",Дзержинский,"55.83032412781143, 37.61469840946716",,2,500,summer cinema,TCGAM. F. 265. Op. 1. D. 17. L. 84
Динамо / Dinamo,"Moscow, SU",Ленинградский,"55.79618060753062, 37.555168887144774",,1,553,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Диск / Disk,"Moscow, SU",Щербаковский,"55.809621, 37.634416",,3,216,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Заря / Zaria,"Moscow, SU",Москворецкий,"55.745524, 37.626412",,3,263,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,"Moscow, SU",Сталинский,"55.77299499453838, 37.76126878218039",,2,815,summer cinema,TCGAM. F. 265. Op. 1. D. 17. L. 84
им. III Интернационала / im. III Internatsionala,"Moscow, SU",Бауманский,"55.77323586956071, 37.67796359405088",,2,426,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Искра / Iskra,"Moscow, SU",Тимирязевский,"55.81168032493068, 37.57701676520979",,3,210,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Кадр / Kadr,"Moscow, SU",Киевский,"55.744520, 37.579277",,3,312,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU",Свердловский,"55.757521, 37.616369",,,151,newsreel,TCGAM. F. 265. Op. 1. D. 17. L. 84
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU",Краснопресненский,"55.757288, 37.599238",,2,480,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Луч / Luch,"Moscow, SU",Сокольнический,"55.791681890731304, 37.68025349659428",,2,403,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Мир / Mir,"Moscow, SU",Октябрьский,"55.79283816599655, 37.59796976091867",,2,361,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Молот / Molot,"Moscow, SU",Сокольнический,"55.785928, 37.675828",,2,411,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1","55.769671725991564, 37.59471331716628",,1,747,"Data on cinema's run is based on 1953 report, data on location is based on 1951 report, data in cinema's capacity is based on 1946 report",
Наука и знание / Nauka i znanie,"Moscow, SU",Киевский,"55.752414, 37.599597",,2,293,science films,TCGAM. F. 265. Op. 1. D. 17. L. 84
Новости дня / Novosti dnia,"Moscow, SU",Советский,"55.762386822142076, 37.602169862309225",,,280,newsreel,TCGAM. F. 265. Op. 1. D. 17. L. 84
Октябрь / Oktiabr',"Moscow, SU",Дзержинский,"55.79929647698802, 37.61501275297922",,2,406,for children,TCGAM. F. 265. Op. 1. D. 17. L. 84
Орион / Orion,"Moscow, SU",Сокольнический,"55.795618, 37.708499",,1,707,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Перекоп / Perekop,"Moscow, SU",Щербаковский,"55.777151, 37.638043",,1,578,,TCGAM. F. 265. Op. 1. D. 17. L. 84
ПКиО Сокольники / PKiO Sokol'niki,"Moscow, SU",Сокольнический,"55.792565, 37.677725",,1,700,summer cinema,TCGAM. F. 265. Op. 1. D. 17. L. 84
Победа / Pobeda,"Moscow, SU",Ленинградский,,,1,649,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Родина / Rodina,"Moscow, SU",Сталинский,"55.781570, 37.717869",,1,1270,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Сад им. Баумана / Sad im. Baumana,"Moscow, SU",Бауманский,"55.766581, 37.659918",,2,500,summer cinema,TCGAM. F. 265. Op. 1. D. 17. L. 84
Сад Эрмитаж / Sad Ėrmitazh,"Moscow, SU",Свердловский,"55.77080510877408, 37.60954337553044",,1,689,summer cinema,TCGAM. F. 265. Op. 1. D. 17. L. 84
Салют / Saliut,"Moscow, SU",Октябрьский,"55.792065, 37.575222",,1,351,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Смена / Smena,"Moscow, SU",Советский,"55.771020990551925, 37.582989154099984",,2,395,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Спартак / Spartak,"Moscow, SU",Куйбышевский,"55.76354670647905, 37.6548476160702",,2,375,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Стереокино / Stereokino,"Moscow, SU",Свердловский,"55.76037895000343, 37.61916289759364",,,186,stereofilms,TCGAM. F. 265. Op. 1. D. 17. L. 84
Таганский / Taganskiĭ,"Moscow, SU",Пролетарский,"55.74038353434052, 37.654197842457705",,1,819,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Таганский ПКиО / Taganskiĭ PKIO,"Moscow, SU",Ждановский,"55.73776354041685, 37.669487798068026",,2,602,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Уран / Uran,"Moscow, SU",Дзержинский,"55.77040452282041, 37.63155372711536",,1,910,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Форум / Forum,"Moscow, SU",Дзержинский,"55.773058432602916, 37.62740330442969",,1,1222,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Хроника / Khronika,"Moscow, SU",Щербаковский,"55.767124, 37.631820",,,267,newsreel,TCGAM. F. 265. Op. 1. D. 17. L. 84
Художественный / Khudozhestvennyĭ,"Moscow, SU",Киевский,"55.752369, 37.602139",,1,968,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Центральный / Tsentral'nyĭ,"Moscow, SU",Свердловский,"55.76592426048217, 37.60529052843362",,1,814,,TCGAM. F. 265. Op. 1. D. 17. L. 84
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU",Ленинский,"55.73154109054722, 37.60327706944183",,1,810,summer cinema,TCGAM. F. 265. Op. 1. D. 17. L. 84
Шторм / Shtorm,"Moscow, SU",Железнодорожный,"55.78235111103543, 37.67006121362364",,1,638,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Экран жизни / Ėkran zhizni,"Moscow, SU",Коминтерновский,"55.77321250837942, 37.620671571295084",,1,548,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Экспресс / Ėkspress,"Moscow, SU",Коминтерновский,"55.77035848488775, 37.60921074307702",,2,230,,TCGAM. F. 265. Op. 1. D. 17. L. 84
Юный зритель / IUnyĭ zritel',"Moscow, SU",Киевский,"55.74853398105157, 37.588827397745554",,2,313,for children,TCGAM. F. 265. Op. 1. D. 17. L. 84
Театр киноактера / Teatr kinoaktera,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Театр киноактера / Teatr kinoaktera,"Moscow, SU","Воровского, 31","55.756905640786755, 37.58698523028461",,1,924,,RGALI. F. 2456. Op. 1. D. 2162. L. 31
1949,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Колизей / Kolizeĭ,"Moscow, SU",Чистые пруды 19-а,"55.761781, 37.645941",,1,904,Union Cinema,"The data on cinema's capacity, run and address is based on 1953 report. "
Метрополь / Metropol',"Moscow, SU",Пл. Свердлова 2/4,"55.758448, 37.621669",,1,757,Union Cinema,"The data on cinema's capacity, run and address is based on 1953 report. "
Ударник / Udarnik,"Moscow, SU","ул. Серафимовича, 2","55.744450, 37.613072",,1,1587,Union Cinema,"RGALI. F. 2473. Op. 1. D. 477. L. 62. Tha data on cinema's address is based on Moskovskaia gorodskaia telefonnaia set'. Kratkiĭ telefonnyĭ spravochnik. Moskva : Upr. Mosk. gor. telefonnoy seti, 1955. "
Управление кинофикации Мосгорисполкома / Upravlenie kinofikatsii Mosgorispolkoma,,,,,,,,
Cinema,City,District,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Ленинский,"55.731779, 37.611473",,1,489/26,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Аврора / Avrora,"Moscow, SU",Красногвардейский,"55.759157, 37.645708",,3,338,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Аквариум / Akvarium,"Moscow, SU",Советский,"55.76749154922368, 37.59480267864476",,2,732,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Арс / Ars,"Moscow, SU",Киевский,"55.74806146601852, 37.58749976700312",,2,254/19,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Баррикады / Barrikady,"Moscow, SU",Краснопресненский,"55.76064794396243, 37.579330860186516",,2,409/42,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,"Moscow, SU",Щербаковский,"55.83032412781143, 37.61469840946716",,2,440,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Динамо / Dinamo,"Moscow, SU",Ленинградский,"55.79618060753062, 37.555168887144774",,1,553/25,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Диск / Disk,"Moscow, SU",Щербаковский,"55.809621, 37.634416",,3,216,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Ждановский ПКиО (Таганский ПКиО) / Zhdanovskiĭ PKiO (Taganskiĭ PKiO),"Moscow, SU",Ждановский,"55.739207, 37.667761",,2,633,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Заря / Zaria,"Moscow, SU",Москворецкий,"55.745524, 37.626412",,3,263,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,"Moscow, SU",Сталинский,"55.77299499453838, 37.76126878218039",,2,815,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
им. III Интернационала / im. III Internatsionala,"Moscow, SU",Бауманский,"55.77323586956071, 37.67796359405088",,2,431/30,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Искра / Iskra,"Moscow, SU",Тимирязевский,"55.81168032493068, 37.57701676520979",,3,210,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Кадр / Kadr,"Moscow, SU",Киевский,"55.744520, 37.579277",,3,213/10,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU",Свердловский,"55.757521, 37.616369",,,151,newsreel,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU",Краснопресненский,"55.757288, 37.599238",,2,466/14,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Красная Пресня / Krasnaia Presnia,"Moscow, SU",Краснопресненский,"55.75519658574544, 37.557861177072844",,3,168,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Луч / Luch,"Moscow, SU",Сокольнический,"55.791681890731304, 37.68025349659428",,2,403/16,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Мир / Mir,"Moscow, SU",Октябрьский,"55.79283816599655, 37.59796976091867",,2,338/24,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Молот / Molot,"Moscow, SU",Сокольнический,"55.785928, 37.675828",,2,411/33,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1","55.769671725991564, 37.59471331716628",,1,747,"Data on cinema's run is based on 1953 report, data on location is based on 1951 report, data in cinema's capacity is based on 1946 report",
Наука и знание / Nauka i znanie,"Moscow, SU",Киевский,"55.752414, 37.599597",,2,293/30,scientific movie,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
