"Moscow Cinema Theaters, 1946-1955",,,,,,,,
1946,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Заря / Zaria,"Moscow, SU",Пятницкая ул.,"55.745524, 37.626412",,3,242,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
им. Моссовета / im. Mossoveta,"Moscow, SU","Лужниковская, 27","55.716276142721824, 37.5739001982771",,1,705,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
им. III Интернационала / im. III Internatsionala,"Moscow, SU","Спартаковская, 21","55.77323586956071, 37.67796359405088",,2,455,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Искра / Iskra,"Moscow, SU","Дмитровское шоссе, 3/а","55.81168032493068, 37.57701676520979",,3,210,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Кадр / Kadr,"Moscow, SU","Плющиха, 11","55.744520, 37.579277",,3,325,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU","Охотный ряд, 6","55.757521, 37.616369",,,151,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU","Герцена, 23","55.757288, 37.599238",,2,440,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Колизей / Kolizeī,"Moscow, SU","Чистые пруды, 19-а","55.761781, 37.645941",,1,904,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Луч / Luch,"Moscow, SU",Сокольнический округ,"55.791681890731304, 37.68025349659428",,2,375,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Маяк / Maiak,"Moscow, SU","Дубровский, 4","55.72449012452377, 37.664848882933924",,3,306,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Метрополь / Metropol',"Moscow, SU","Пл. Свердлова, 2/4","55.758448, 37.621669",,1,757,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Мир / Mir,"Moscow, SU","Сущевский вал, 15","55.79283816599655, 37.59796976091867",,2,362,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Молот / Molot,"Moscow, SU","Русаковская, 23","55.785928, 37.675828",,2,442,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1","55.769671725991564, 37.59471331716628",,1,791,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Наука и знание / Nauka i znanie,"Moscow, SU","Арбат, 2","55.752414, 37.599597",,2,323,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Новости дня / Novosti dnia,"Moscow, SU","Тверской бульвар, 23","55.762386822142076, 37.602169862309225",,,272,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Октябрь / Oktiabr',"Moscow, SU","Шереметьевская, 19","55.79929647698802, 37.61501275297922",,2,436,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Орион / Orion,"Moscow, SU","Преображенская пл., 7","55.795618, 37.708499",,1,701,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Перекоп / Perekop,"Moscow, SU","Грохольский пер., 22","55.777151, 37.638043",,1,590,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
ПКиО Сокольники / PKIO Sokol'niki,"Moscow, SU",Сокольнический круг,"55.792565, 37.677725",,1,700,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 59
Призыв / Prizyv,"Moscow, SU",Можайское шоссе 47/51,"55.717432889661616, 37.4076118136208",,1,386,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Родина / Rodina,"Moscow, SU",Семеновская пл.,"55.781570, 37.717869",,1,1313,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Сад им. Баумана / Sad im. Baumana,"Moscow, SU","ул. Карла Маркса или Ново-Басманная, 18","55.766581, 37.659918",,1,708,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 59
"Салют 2-х зальный / Saliut, 2 venues","Moscow, SU","Нижняя Масловка, 1/2","55.792065, 37.575222",,1,642,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Смена / Smena,"Moscow, SU","Б. Грузинская, 51","55.771020990551925, 37.582989154099984",,2,430,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Спартак / Spartak,"Moscow, SU","Чернышевского, 55","55.76354670647905, 37.6548476160702",,3,344,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Стереокино / Stereokino,"Moscow, SU","Пл Свердлова, 1/8","55.76037895000343, 37.61916289759364",,,178,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Таганский / Taganskiĭ,"Moscow, SU",Таганская пл. 12,"55.74038353434052, 37.654197842457705",,1,809,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Театр киноактера / Teatr kinoaktera,"Moscow, SU","ул. Воровского, 31","55.756832, 37.586203",,1,924,Data on cinema's capacity is based on 1949 report,"Information on cinema's address is based on Moskovskaia gorodskaia telefonnaia set'. Kratkiĭ telefonnyĭ spravochnik. Moskva : Upr. Mosk. gor. telefonnoy seti, 1955."
"Ударник 2-х зальный / Udarnik, 2 venues","Moscow, SU",Серафимовича,"55.744450, 37.613072",,1,1998,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Уран / Uran,"Moscow, SU","Сретенка, 19","55.77040452282041, 37.63155372711536",,1,984,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Форум / Forum,"Moscow, SU","Садово-Сухаревская, 14","55.773058432602916, 37.62740330442969",,1,1273,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Хроника / Khronika,"Moscow, SU","Сретенка, 4","55.767124, 37.631820",,,296,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Художественный / Khudozhestvennyĭ,"Moscow, SU","Арбатская пл., 14","55.752369, 37.602139",,1,1020,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Центральный / Tsentral'nyĭ,"Moscow, SU","Горького, 18-а","55.76592426048217, 37.60529052843362",,1,850,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU","Крымский вал, 9","55.73154109054722, 37.60327706944183",,1,757,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 59
Шторм / Shtorm,"Moscow, SU","Русаковская, 1","55.78235111103543, 37.67006121362364",,1,656,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Экран жизни / Ėkran zhizni,"Moscow, SU","Садово-Каретная, 45","55.77342398078649, 37.611662769437814",,1,569,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Экспресс / Ėkspress,"Moscow, SU","Цветной бульвар, 25","55.77321250837942, 37.620671571295084",,3,262,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Эрмитаж / Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77035848488775, 37.60921074307702",,1,652,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
Юный зритель / IUnyĭ zritel',"Moscow, SU","Арбат, 39","55.74853398105157, 37.588827397745554",,2,353,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
1953,,,,,,,,
Отдел кинофикации управления культуры Мосгорисполкома / Otdel kinofikatsii upravleniia kul'tury Mosgorispolkoma,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Б. Якиманка,"55.731779, 37.611473",,2,515,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Аврора / Avrora,"Moscow, SU","Чернышевского, 16","55.759157, 37.645708",,3,314,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Аквариум / Akvarium,"Moscow, SU","Садовая, 14","55.76749154922368, 37.59480267864476",,2,732,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
Арс / Ars,"Moscow, SU","Арбат, 51","55.74806146601852, 37.58749976700312",,2,271,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Баррикады / Barrikady,"Moscow, SU","Баррикадная, 21","55.76064794396243, 37.579330860186516",,2,455,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,"Moscow, SU","Останкинская, 7","55.83032412781143, 37.61469840946716",,2,652,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
Диск / Disk,"Moscow, SU","Марьинская, 23","55.809621, 37.634416",,3,207,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Ждановский ПКиО / Zhdanovskiĭ PKiO,"Moscow, SU","Таганская ул., 40/42","55.739207, 37.667761",,2,584,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Заря / Zaria,"Moscow, SU",Пятницкая ул.,"55.745524, 37.626412",,3,242,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,"Moscow, SU",Измайлово,"55.77299499453838, 37.76126878218039",,3,600,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
им. Моссовета / im. Mossoveta,"Moscow, SU","Лужниковская, 27","55.716276142721824, 37.5739001982771",,1,705,,TCGAM. F. 265. Op. 1. D. 30. L. 57
им. III Интернационала / im. III Internatsionala,"Moscow, SU","Спартаковская, 21","55.77323586956071, 37.67796359405088",,2,455,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Искра / Iskra,"Moscow, SU","Дмитровское шоссе, 3/а","55.81168032493068, 37.57701676520979",,3,210,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Кадр / Kadr,"Moscow, SU","Плющиха, 11","55.744520, 37.579277",,3,325,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU","Охотный ряд, 6","55.757521, 37.616369",,,151,"newsreel, on a balance sheet with Stereokino",TCGAM. F. 265. Op. 1. D. 30. L. 58
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU","Герцена, 23","55.757288, 37.599238",,2,440,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Колизей / Kolizeī,"Moscow, SU","Чистые пруды, 19-а","55.761781, 37.645941",,1,904,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Красная Пресня / Krasnaia Presnia,"Moscow, SU","Мантулинская, 5","55.75519658574544, 37.557861177072844",,3,185,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Луч / Luch,"Moscow, SU",Сокольнический округ,"55.791681890731304, 37.68025349659428",,2,375,,TCGAM. F. 265. Op. 1. D. 30. L. 57
"Маяк 2-х зальный / Maiak, 2 venues","Moscow, SU","Дубровский, 4","55.72449012452377, 37.664848882933924",,3,306,,TCGAM. F. 265. Op. 1. D. 30. L. 57
"Метрополь 3-х зальный / Metropol', 3 venues","Moscow, SU","Пл. Свердлова, 2/4","55.758448, 37.621669",,1,757,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Мир / Mir,"Moscow, SU","Сущевский вал, 15","55.79283816599655, 37.59796976091867",,2,362,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Молот / Molot,"Moscow, SU","Русаковская, 23","55.785928, 37.675828",,2,442,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1","55.769671725991564, 37.59471331716628",,1,791,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Наука и знание / Nauka i znanie,"Moscow, SU","Арбат, 2","55.752414, 37.599597",,2,323,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Новости дня / Novosti dnia,"Moscow, SU","Тверской бульвар, 23","55.762386822142076, 37.602169862309225",,,272,newsreel,TCGAM. F. 265. Op. 1. D. 30. L. 58
Октябрь / Oktiabr',"Moscow, SU","Шереметьевская, 19","55.79929647698802, 37.61501275297922",,2,436,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Орион / Orion,"Moscow, SU","Преображенская пл., 7","55.795618, 37.708499",,1,701,,TCGAM. F. 265. Op. 1. D. 30. L. 57
Открытый кинотеатр (Усачёвский сквер) / Otkrytyĭ kinoteatr (Usachëvskiī skver),"Moscow, SU",Усачёвский сквер,"55.724584197535705, 37.56102498972425",,3,595,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
Открытый кинотеатр в парке им. Воровского / Otkrytyĭ kinoteatr v parke im. Vorovskogo,"Moscow, SU","Ленинградское шоссе, 244","55.81946149407082, 37.50539195493388",,3,588,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
Перекоп / Perekop,"Moscow, SU","Грохольский пер., 22","55.777151, 37.638043",,1,590,,TCGAM. F. 265. Op. 1. D. 30. L. 58
ПКиО Сокольники / PKIO Sokol'niki,"Moscow, SU",Сокольнический круг,"55.792565, 37.677725",,1,700,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
Призыв / Prizyv,"Moscow, SU",Можайское шоссе 47/51,"55.717432889661616, 37.4076118136208",,1,386,,TCGAM. F. 265. Op. 1. D. 30. L. 58
"Родина 2-х зальный / Rodina, 2 venues","Moscow, SU",Семеновская пл.,"55.781570, 37.717869",,1,1313,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Сад им. Баумана / Sad im. Baumana,"Moscow, SU","ул. Карла Маркса или Ново-Басманная, 18","55.766581, 37.659918",,1,708,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
Сад Эрмитаж / Sad Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77080510877408, 37.60954337553044",,1,428,"summer cinema, on a balance sheet with Ėrmitazh",TCGAM. F. 265. Op. 1. D. 30. L. 59
"Салют 2-х зальный / Saliut, 2 venues","Moscow, SU","Нижняя Масловка, 1/2","55.792065, 37.575222",,1,642,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Смена / Smena,"Moscow, SU","Б. Грузинская, 51","55.771020990551925, 37.582989154099984",,2,430,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Спартак / Spartak,"Moscow, SU","Чернышевского, 55","55.76354670647905, 37.6548476160702",,3,344,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Стереокино / Stereokino,"Moscow, SU","Пл Свердлова, 1/8","55.76037895000343, 37.61916289759364",,,178,specialized,TCGAM. F. 265. Op. 1. D. 30. L. 58
Таганский / Taganskiĭ,"Moscow, SU",Таганская пл. 12,"55.74038353434052, 37.654197842457705",,1,809,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Театр киноактера / Teatr kinoaktera,"Moscow, SU","ул. Воровского, 31","55.756832, 37.586203",,1,924,Data on cinema's capacity and run is based on 1949 report,"The data on cinema's address is based on Moskovskaia gorodskaia telefonnaia set'. Kratkiĭ telefonnyĭ spravochnik. Moskva : Upr. Mosk. gor. telefonnoy seti, 1955."
"Ударник 2-х зальный / Udarnik, 2 venues","Moscow, SU",Серафимовича,"55.744450, 37.613072",,1,1998,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Уран / Uran,"Moscow, SU","Сретенка, 19","55.77040452282041, 37.63155372711536",,1,984,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Форум / Forum,"Moscow, SU","Садово-Сухаревская, 14","55.773058432602916, 37.62740330442969",,1,1273,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Хроника / Khronika,"Moscow, SU","Сретенка, 4","55.767124, 37.631820",,,296,newsreel,TCGAM. F. 265. Op. 1. D. 30. L. 58
Художественный / Khudozhestvennyĭ,"Moscow, SU","Арбатская пл., 14","55.752369, 37.602139",,1,1020,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Центральный / Tsentral'nyĭ,"Moscow, SU","Горького, 18-а","55.76592426048217, 37.60529052843362",,1,850,,TCGAM. F. 265. Op. 1. D. 30. L. 58
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU","Крымский вал, 9","55.73154109054722, 37.60327706944183",,1,757,summer cinema,TCGAM. F. 265. Op. 1. D. 30. L. 59
Шторм / Shtorm,"Moscow, SU","Русаковская, 1","55.78235111103543, 37.67006121362364",,1,656,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Экран жизни / Ėkran zhizni,"Moscow, SU","Садово-Каретная, 45","55.77342398078649, 37.611662769437814",,1,569,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Экспресс / Ėkspress,"Moscow, SU","Цветной бульвар, 25","55.77321250837942, 37.620671571295084",,3,262,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Эрмитаж / Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77035848488775, 37.60921074307702",,1,652,,TCGAM. F. 265. Op. 1. D. 30. L. 58
Юный зритель / IUnyĭ zritel',"Moscow, SU","Арбат, 39","55.74853398105157, 37.588827397745554",,2,353,,TCGAM. F. 265. Op. 1. D. 30. L. 58
1954,,,,,,,,
Отдел кинофикации управления культуры Мосгорисполкома / Otdel kinofikatsii upravleniia kul'tury Mosgorispolkoma,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Б. Якиманка,"55.731779, 37.611473",,2,463,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Аврора / Avrora,"Moscow, SU","ул. Чернышевского, 16","55.759157, 37.645708",,3,306,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Аквариум / Akvarium,"Moscow, SU","Б. Садовая, 14","55.76749154922368, 37.59480267864476",,2,732,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Баррикады / Barrikady,"Moscow, SU","Баррикадная, 21","55.76064794396243, 37.579330860186516	",,2,426,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
ВСХВ большой зал / VSKHV bol'shoī zal,"Moscow, SU",Территория ВСХВ,"55.831674872324214, 37.63130193594137",,1,736,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
ВСХВ малый зал / VSKHV malyī zal,"Moscow, SU",Территория ВСХВ,"55.831674872324214, 37.63130193594137",,2,438,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,"Moscow, SU","Останкинская, 17","55.83032412781143, 37.61469840946716	",,2,652,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Динамо / Dinamo,"Moscow, SU",Петровский парк,"55.79618060753062, 37.555168887144774	",,1,522,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Диск / Disk,"Moscow, SU",Мариинская ул. 23,"55.809621, 37.634416	",,3,207,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Дружба / Druzhba,"Moscow, SU",Новопесчанная ул. корп. 60,"55.79626860234792, 37.512730548107776",,1,277,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Заря / Zaria,"Moscow, SU",Пятницкая ул. 2,"55.745524, 37.626412	",,3,228,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Звезда / Zvezda,"Moscow, SU","ул. Чкалова, д. 8-22","55.76002828365596, 37.6571141119478",,1,228,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Знамя / Znamia,"Moscow, SU",Подгорская наб.д. 1/15,"55.74813515028734, 37.64490519799821",,1,332,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,"Moscow, SU",Измайлово,"55.77299499453838, 37.76126878218039	",,3,600,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
им. Моссовета / im. Mossoveta,"Moscow, SU","Лужниковская, 27","55.716276142721824, 37.5739001982771",,1,684,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Искра / Iskra,"Moscow, SU","Дмитровское шоссе, 3а","55.81168032493068, 37.57701676520979",,3,210,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Кадр / Kadr,"Moscow, SU","Плющихa, 11","55.744520, 37.579277",,3,325,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU","Охотный ряд, 6","55.757521, 37.616369",,,151,newsreel,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU","ул. Герцена, 23/9","55.757288, 37.599238",,2,440,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Колизей / Kolizeĭ,"Moscow, SU","Чистые пруды, 19а","55.761781, 37.645941",,1,904,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Красная Пресня / Krasnaia presnia,"Moscow, SU","Мантулинская, 5","55.75519658574544, 37.557861177072844	",,3,185,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Луч / Luch,"Moscow, SU",Сокольнической округ,"55.791681890731304, 37.68025349659428",,2,375,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
"Маяк 2-х зальный / Maiak, 2 venues","Moscow, SU",Дубровский пр. 4,"55.72449012452377, 37.664848882933924",,3,306,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
"Метрополь 3-х зальный / Metropol', 3 venues","Moscow, SU","Пл. Свердлова, 2/4","55.758448, 37.621669",,1,730,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Мир / Mir,"Moscow, SU","Сущевский вал, 15","55.79283816599655, 37.59796976091867",,2,323,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Молот / Molot,"Moscow, SU","Русаковская, 23","55.785928, 37.675828",,2,328,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Москва,"Moscow, SU",Пл. Маяковского,"55.769671725991564, 37.59471331716628",,1,791,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Наука и знание / Nauka i znanie,"Moscow, SU","Арбат, 51","55.74814594330477, 37.587553398356306",,2,237,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Новости дня / Novosti dnia,"Moscow, SU",Тверской бульв. 23,"55.762386822142076, 37.602169862309225",,,259,newsreel,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Октябрь / Oktiabr',"Moscow, SU","Шереметьевская, 19","55.79929647698802, 37.61501275297922",,2,381,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Орион / Orion,"Moscow, SU",Преображенская пл. 7,"55.795618, 37.708499",,1,659,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Открытый кинотеатр (Усачёвский сквер) / Otkrytyĭ kinoteatr (Usachëvskiī skver),"Moscow, SU",Усачевский сквер,"55.724584197535705, 37.56102498972425	",,3,595,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Открытый кинотеатр в парке им. Воровского / Otkrytyĭ kinoteatr v parke im. Vorovskogo,"Moscow, SU",Ленинградское шоссе 244,"55.81946149407082, 37.50539195493388	",,3,588,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Перекоп / Perekop,"Moscow, SU",Грохольский пер. 22,"55.777151, 37.638043	",,1,590,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
ПКиО Сокольники / PKIO Sokol'niki,"Moscow, SU",Сокольнической округ,"55.792565, 37.677725	",,1,701,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Призыв / Prizyv,"Moscow, SU","Можайское шоссе, д. 47-51","55.717432889661616, 37.4076118136208	",,1,386,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Радуга / Raduga,"Moscow, SU","Спартаковская, 21","55.77319966176864, 37.67882190091637",,1,440,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
"Родина 2-х зальный / Rodina, 2 venues","Moscow, SU",Семеновская пл.,"55.781570, 37.717869",,1,1268,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Сад им. Баумана / Sad im. Baumana,"Moscow, SU","ул. Карла Маркса, 18","55.766581, 37.659918",,1,708,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Сад Эрмитаж / Sad Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77080510877408, 37.60954337553044",,1,428,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
"Салют 2-х зальный / Saliut, 2 venues","Moscow, SU","Ниж. Масловка, д. 1/2","55.792065, 37.575222",,1,642,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Смена / Smena,"Moscow, SU","Б. Грузинская, 51","55.771020990551925, 37.582989154099984",,2,403,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Спартак / Spartak,"Moscow, SU","ул. Чернышевского, 55","55.76354670647905, 37.6548476160702",,3,336,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Стереокино / Stereokino,"Moscow, SU","пл. Свердлова, 1/3","55.76037895000343, 37.61916289759364",,,178,stereo films,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Таганский / Taganskiĭ,"Moscow, SU",Таганская пл. 12,"55.74038353434052, 37.654197842457705",,1,793,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
"Ударник, включая малый и красный залы, 496 мест / Udarnik, including small and reed venues of 496 places","Moscow, SU",ул. Серафимовича,"55.744450, 37.613072",,1,2098,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Уран / Uran,"Moscow, SU",Сретенка. 19,"55.77040452282041, 37.63155372711536",,1,937,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Форум / Forum,"Moscow, SU","Садово-Сухаревская, 14","55.773058432602916, 37.62740330442969",,1,1257,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Хроника / Khronika,"Moscow, SU","Сретенка, 4","55.767124, 37.631820",,,267,newsreel,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Художественный / Khudozhestvennyĭ,"Moscow, SU",Арбатская пл. 14,"55.752369, 37.602139",,1,357,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Центральный / Tsentral'nyĭ,"Moscow, SU","ул. Горького, 18-а","55.76592426048217, 37.60529052843362",,1,788,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU","Крымский вал, 9","55.73154109054722, 37.60327706944183",,1,742,summer cinema,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Шторм / Shtorm,"Moscow, SU","Русаковская, 1","55.78235111103543, 37.67006121362364",,1,622,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Экран жизни / Ėkran zhizni,"Moscow, SU","Садово-Каретная, 45","55.77342398078649, 37.611662769437814",,2,565,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Экспресс / Ėkspress,"Moscow, SU","Цветной бульвар, 25","55.77321250837942, 37.620671571295084",,3,253,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
Эрмитаж / Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77035848488775, 37.60921074307702",,1,652,,TCGAM. F. 265. Op. 1. D. 36. L. 52-54
